tenure,MonthlyCharges,Contract,Churn,TenureGroup,ChargeGroup
47,100.5,Month-to-month,No,25-48,High
60,89.9,Month-to-month,No,49-72,High
72,42.1,Two year,No,49-72,Medium
18,54.4,One year,No,13-24,Medium
9,94.4,Month-to-month,Yes,0-12,High
3,75.3,Month-to-month,No,0-12,High
47,78.9,One year,No,25-48,High
31,79.2,Two year,No,25-48,High
50,20.15,Two year,No,49-72,Low
10,79.85,Month-to-month,No,0-12,High
1,49.05,Month-to-month,No,0-12,Medium
52,20.4,One year,No,49-72,Low
64,111.6,Two year,No,49-72,High
62,24.25,Two year,No,49-72,Low
3,64.5,Month-to-month,No,0-12,Medium
56,110.5,One year,No,49-72,High
46,55.65,One year,No,25-48,Medium
8,54.65,Month-to-month,No,0-12,Medium
30,74.75,Month-to-month,No,25-48,High
45,25.9,One year,No,25-48,Low
1,79.35,Month-to-month,Yes,0-12,High
11,50.55,Month-to-month,No,0-12,Medium
7,75.15,Month-to-month,Yes,0-12,High
42,103.8,Month-to-month,No,25-48,High
49,20.15,Two year,No,49-72,Low
9,99.3,Month-to-month,No,0-12,High
35,62.15,One year,No,25-48,Medium
48,20.65,Two year,No,25-48,Low
46,19.95,Two year,No,25-48,Low
29,33.75,Month-to-month,No,25-48,Low
30,82.05,Month-to-month,No,25-48,High
1,74.7,Month-to-month,No,0-12,High
66,84.0,Two year,No,49-72,High
65,111.05,Month-to-month,No,49-72,High
72,100.9,Two year,No,49-72,High
12,78.95,Month-to-month,Yes,0-12,High
71,66.85,One year,No,49-72,Medium
5,21.05,Month-to-month,Yes,0-12,Low
52,21.0,Two year,No,49-72,Low
25,98.5,Month-to-month,Yes,25-48,High
1,20.2,Month-to-month,No,0-12,Low
1,19.45,Month-to-month,No,0-12,Low
38,95.0,One year,No,25-48,High
66,45.55,One year,No,49-72,Medium
68,110.0,Two year,Yes,49-72,High
5,24.3,Month-to-month,No,0-12,Low
72,104.15,One year,No,49-72,High
32,30.15,One year,No,25-48,Low
43,94.35,One year,No,25-48,High
72,19.4,Two year,No,49-72,Low
55,96.75,Month-to-month,Yes,49-72,High
52,57.95,One year,No,49-72,Medium
43,91.65,Month-to-month,No,25-48,High
37,76.5,Month-to-month,Yes,25-48,High
64,54.6,Two year,No,49-72,Medium
3,89.85,Month-to-month,No,0-12,High
36,31.05,Two year,No,25-48,Low
10,100.25,Month-to-month,Yes,0-12,High
41,20.65,Two year,No,25-48,Low
27,85.2,Month-to-month,No,25-48,High
56,99.8,One year,No,49-72,High
6,20.7,Month-to-month,No,0-12,Low
3,74.4,Month-to-month,Yes,0-12,High
7,50.7,Month-to-month,No,0-12,Medium
4,20.85,Month-to-month,No,0-12,Low
33,88.95,Two year,No,25-48,High
27,78.05,Month-to-month,Yes,25-48,High
72,23.55,Two year,No,49-72,Low
1,19.75,Month-to-month,No,0-12,Low
71,56.45,One year,No,49-72,Medium
13,85.95,Month-to-month,No,13-24,High
25,58.6,Month-to-month,Yes,25-48,Medium
67,50.55,Two year,No,49-72,Medium
1,35.45,Month-to-month,Yes,0-12,Medium
2,44.35,Month-to-month,Yes,0-12,Medium
43,25.7,Two year,No,25-48,Low
23,75.0,Month-to-month,No,13-24,High
64,20.2,Two year,No,49-72,Low
57,19.6,Two year,No,49-72,Low
1,70.45,Month-to-month,Yes,0-12,High
72,88.05,Two year,No,49-72,High
8,71.15,Month-to-month,Yes,0-12,High
61,101.05,Two year,No,49-72,High
64,84.3,One year,No,49-72,High
71,23.95,Two year,No,49-72,Low
65,99.05,Two year,No,49-72,High
3,19.6,One year,No,0-12,Low
1,45.65,Month-to-month,Yes,0-12,Medium
30,64.5,One year,No,25-48,Medium
15,69.5,Month-to-month,No,13-24,Medium
8,68.55,Month-to-month,No,0-12,Medium
7,95.0,Month-to-month,Yes,0-12,High
70,108.15,One year,No,49-72,High
62,86.1,Two year,No,49-72,High
6,19.7,Month-to-month,No,0-12,Low
14,80.9,Month-to-month,No,13-24,High
22,84.15,Month-to-month,No,13-24,High
22,20.15,One year,No,13-24,Low
16,64.25,Two year,No,13-24,Medium
10,25.7,Two year,No,0-12,Low
13,56.0,Month-to-month,No,13-24,Medium
20,82.4,Month-to-month,Yes,13-24,High
2,69.7,Month-to-month,No,0-12,Medium
53,73.9,Two year,No,49-72,High
11,20.6,One year,No,0-12,Low
69,19.9,Two year,No,49-72,Low
4,70.9,Month-to-month,Yes,0-12,High
72,89.05,Two year,No,49-72,High
58,45.3,Month-to-month,Yes,49-72,Medium
16,20.4,Month-to-month,No,13-24,Low
43,84.25,One year,No,25-48,High
2,104.4,Month-to-month,Yes,0-12,High
14,81.95,Two year,No,13-24,High
53,94.85,One year,Yes,49-72,High
32,20.55,One year,No,25-48,Low
34,24.7,Month-to-month,No,25-48,Low
15,74.45,Month-to-month,Yes,13-24,High
7,76.45,Month-to-month,Yes,0-12,High
15,105.35,Month-to-month,No,13-24,High
61,20.55,One year,No,49-72,Low
1,29.95,Month-to-month,Yes,0-12,Low
1,45.3,Month-to-month,No,0-12,Medium
8,84.5,Month-to-month,Yes,0-12,High
33,74.75,One year,No,25-48,High
13,79.25,Month-to-month,Yes,13-24,High
1,24.8,Month-to-month,Yes,0-12,Low
20,51.8,Month-to-month,No,13-24,Medium
3,30.4,Month-to-month,No,0-12,Low
13,19.65,One year,No,13-24,Low
40,56.6,Month-to-month,No,25-48,Medium
43,71.9,One year,No,25-48,High
6,91.0,Month-to-month,Yes,0-12,High
69,19.75,Two year,No,49-72,Low
72,109.7,Two year,No,49-72,High
59,19.3,Two year,No,49-72,Low
20,96.55,Month-to-month,No,13-24,High
24,24.1,Two year,No,13-24,Low
59,111.35,Month-to-month,No,49-72,High
72,112.25,Two year,No,49-72,High
1,20.75,Month-to-month,No,0-12,Low
27,101.9,One year,No,25-48,High
14,80.05,Month-to-month,No,13-24,High
71,105.55,Two year,No,49-72,High
13,78.3,Month-to-month,No,13-24,High
44,68.85,Month-to-month,No,25-48,Medium
33,79.95,One year,No,25-48,High
72,55.45,Two year,No,49-72,Medium
1,79.9,Month-to-month,Yes,0-12,High
19,106.6,Month-to-month,Yes,13-24,High
64,102.45,One year,No,49-72,High
2,46.0,Month-to-month,Yes,0-12,Medium
1,25.25,Month-to-month,No,0-12,Low
61,19.75,Two year,No,49-72,Low
29,20.0,One year,No,25-48,Low
23,86.8,Month-to-month,No,13-24,High
57,58.75,Month-to-month,No,49-72,Medium
72,45.25,Two year,No,49-72,Medium
66,56.6,Two year,No,49-72,Medium
65,84.2,Two year,No,49-72,High
8,80.0,Month-to-month,No,0-12,High
4,70.15,Month-to-month,Yes,0-12,High
71,24.75,Two year,No,49-72,Low
1,20.2,One year,No,0-12,Low
4,50.05,Month-to-month,Yes,0-12,Medium
12,19.35,One year,No,0-12,Low
24,50.6,One year,No,13-24,Medium
31,81.15,One year,No,25-48,High
1,55.2,Month-to-month,Yes,0-12,Medium
30,89.9,Month-to-month,No,25-48,High
47,85.3,Two year,No,25-48,High
54,108.0,Two year,No,49-72,High
50,93.5,Month-to-month,No,49-72,High
1,84.6,Month-to-month,Yes,0-12,High
72,20.25,Two year,No,49-72,Low
29,25.15,Month-to-month,No,25-48,Low
2,54.4,Month-to-month,Yes,0-12,Medium
10,29.6,Two year,No,0-12,Low
18,73.15,Month-to-month,No,13-24,High
11,95.0,Month-to-month,Yes,0-12,High
16,19.75,Two year,No,13-24,Low
72,86.6,Two year,No,49-72,High
72,109.2,Two year,No,49-72,High
41,74.7,One year,No,25-48,High
65,94.4,Month-to-month,No,49-72,High
13,54.8,Month-to-month,No,13-24,Medium
4,75.35,Month-to-month,No,0-12,High
41,65.0,One year,No,25-48,Medium
15,74.4,Month-to-month,Yes,13-24,High
1,48.55,Month-to-month,Yes,0-12,Medium
42,99.0,One year,No,25-48,High
51,93.5,One year,No,49-72,High
2,70.4,Month-to-month,Yes,0-12,High
1,40.2,Month-to-month,Yes,0-12,Medium
32,83.7,One year,No,25-48,High
10,19.85,Month-to-month,No,0-12,Low
67,59.55,Two year,No,49-72,Medium
61,115.1,Two year,No,49-72,High
50,114.35,One year,No,49-72,High
2,44.6,Month-to-month,Yes,0-12,Medium
29,45.0,Month-to-month,No,25-48,Medium
3,41.15,Month-to-month,Yes,0-12,Medium
13,106.9,Month-to-month,Yes,13-24,High
57,89.85,Month-to-month,No,49-72,High
31,49.85,Two year,No,25-48,Medium
45,113.3,One year,No,25-48,High
61,88.1,Two year,No,49-72,High
50,24.9,Two year,No,49-72,Low
19,105.0,Month-to-month,No,13-24,High
59,19.35,Two year,Yes,49-72,Low
71,24.25,Two year,No,49-72,Low
16,94.45,Month-to-month,Yes,13-24,High
57,59.75,Two year,No,49-72,Medium
1,24.8,Month-to-month,Yes,0-12,Low
20,107.05,Month-to-month,No,13-24,High
1,70.6,Month-to-month,Yes,0-12,High
5,85.4,Month-to-month,Yes,0-12,High
52,105.05,Month-to-month,Yes,49-72,High
21,64.95,Month-to-month,No,13-24,Medium
14,55.0,Month-to-month,No,13-24,Medium
5,50.55,Month-to-month,No,0-12,Medium
6,55.15,Month-to-month,No,0-12,Medium
10,51.2,Month-to-month,No,0-12,Medium
1,25.4,Month-to-month,No,0-12,Low
68,54.45,Month-to-month,No,49-72,Medium
18,95.15,Month-to-month,Yes,13-24,High
22,76.0,One year,No,13-24,High
20,44.35,Month-to-month,No,13-24,Medium
1,70.0,Month-to-month,Yes,0-12,Medium
8,74.5,Month-to-month,Yes,0-12,High
10,44.85,Month-to-month,Yes,0-12,Medium
24,76.1,Month-to-month,Yes,13-24,High
35,61.2,One year,No,25-48,Medium
23,86.8,One year,No,13-24,High
6,89.35,Month-to-month,No,0-12,High
12,19.7,Month-to-month,No,0-12,Low
1,20.25,Month-to-month,No,0-12,Low
71,76.05,Two year,No,49-72,High
35,100.8,Month-to-month,No,25-48,High
40,74.55,Month-to-month,No,25-48,High
1,73.6,Month-to-month,Yes,0-12,High
23,64.9,One year,No,13-24,Medium
4,95.45,Month-to-month,Yes,0-12,High
4,90.4,Month-to-month,No,0-12,High
68,60.3,Two year,No,49-72,Medium
38,81.85,Month-to-month,No,25-48,High
52,24.8,Two year,No,49-72,Low
32,74.9,Month-to-month,Yes,25-48,High
29,75.55,Two year,No,25-48,High
38,101.15,Month-to-month,No,25-48,High
48,78.75,One year,No,25-48,High
1,19.25,Month-to-month,No,0-12,Low
22,89.05,Month-to-month,No,13-24,High
43,115.05,Two year,No,25-48,High
5,69.35,Month-to-month,No,0-12,Medium
5,80.6,Month-to-month,Yes,0-12,High
51,110.05,One year,No,49-72,High
71,19.9,Two year,No,49-72,Low
38,80.3,One year,Yes,25-48,High
24,93.15,Month-to-month,Yes,13-24,High
35,91.5,Month-to-month,No,25-48,High
54,82.45,One year,Yes,49-72,High
72,60.0,Two year,No,49-72,Medium
1,44.8,Month-to-month,No,0-12,Medium
9,48.6,One year,No,0-12,Medium
69,60.05,Two year,No,49-72,Medium
52,102.7,Month-to-month,No,49-72,High
11,82.9,Month-to-month,No,0-12,High
2,70.35,Month-to-month,Yes,0-12,High
28,35.9,Month-to-month,No,25-48,Medium
17,82.65,Month-to-month,No,13-24,High
35,19.85,Two year,No,25-48,Low
8,19.2,One year,No,0-12,Low
46,94.9,One year,No,25-48,High
7,73.85,Month-to-month,Yes,0-12,High
2,80.6,Month-to-month,Yes,0-12,High
68,75.8,One year,Yes,49-72,High
43,104.6,Two year,Yes,25-48,High
68,88.15,Two year,No,49-72,High
36,94.8,Month-to-month,No,25-48,High
63,103.4,Month-to-month,Yes,49-72,High
32,54.65,Month-to-month,No,25-48,Medium
71,85.75,Two year,No,49-72,High
66,67.45,Month-to-month,No,49-72,Medium
63,20.5,One year,No,49-72,Low
41,20.25,One year,No,25-48,Low
1,72.1,Month-to-month,No,0-12,High
2,90.4,Month-to-month,Yes,0-12,High
70,19.45,Two year,No,49-72,Low
23,44.95,Month-to-month,No,13-24,Medium
64,97.0,One year,No,49-72,High
37,62.8,Two year,No,25-48,Medium
17,44.6,One year,No,13-24,Medium
7,89.15,Month-to-month,No,0-12,High
4,84.8,Month-to-month,Yes,0-12,High
21,41.9,Month-to-month,Yes,13-24,Medium
10,80.25,Month-to-month,Yes,0-12,High
16,54.1,Month-to-month,No,13-24,Medium
64,105.25,Two year,No,49-72,High
27,30.75,Month-to-month,Yes,25-48,Low
42,97.1,One year,No,25-48,High
5,20.2,Month-to-month,No,0-12,Low
41,98.8,Two year,No,25-48,High
58,50.3,One year,No,49-72,Medium
47,20.55,Two year,No,25-48,Low
18,75.9,Month-to-month,No,13-24,High
5,96.5,Month-to-month,Yes,0-12,High
23,59.95,Month-to-month,No,13-24,Medium
1,19.15,Month-to-month,No,0-12,Low
71,98.65,One year,No,49-72,High
72,112.6,Two year,No,49-72,High
33,20.6,One year,No,25-48,Low
2,85.65,Month-to-month,Yes,0-12,High
24,35.75,Two year,No,13-24,Medium
56,99.75,One year,No,49-72,High
37,96.1,Month-to-month,No,25-48,High
43,85.1,One year,No,25-48,High
1,25.35,Month-to-month,No,0-12,Low
25,104.95,Month-to-month,Yes,25-48,High
61,89.65,Two year,No,49-72,High
17,86.75,One year,No,13-24,High
41,86.2,One year,No,25-48,High
1,50.65,Month-to-month,Yes,0-12,Medium
72,64.8,Two year,No,49-72,Medium
1,90.85,Month-to-month,Yes,0-12,High
48,108.1,Two year,No,25-48,High
11,19.95,Month-to-month,Yes,0-12,Low
55,85.45,Month-to-month,Yes,49-72,High
42,54.75,One year,No,25-48,Medium
44,90.4,Month-to-month,No,25-48,High
1,44.0,Month-to-month,No,0-12,Medium
27,95.6,Month-to-month,No,25-48,High
27,84.8,Month-to-month,No,25-48,High
2,44.3,Month-to-month,No,0-12,Medium
19,19.9,Month-to-month,No,13-24,Low
42,95.05,Month-to-month,No,25-48,High
66,90.05,Two year,No,49-72,High
33,109.9,Month-to-month,No,25-48,High
34,73.95,Month-to-month,Yes,25-48,High
33,54.6,Month-to-month,No,25-48,Medium
23,20.05,One year,No,13-24,Low
32,19.75,One year,No,25-48,Low
11,20.05,One year,No,0-12,Low
69,99.45,Month-to-month,Yes,49-72,High
68,55.9,One year,No,49-72,Medium
20,19.7,Two year,No,13-24,Low
72,19.8,Two year,No,49-72,Low
60,95.4,One year,No,49-72,High
32,93.95,Month-to-month,No,25-48,High
1,19.9,Month-to-month,Yes,0-12,Low
1,19.6,Month-to-month,Yes,0-12,Low
3,81.35,Month-to-month,Yes,0-12,High
46,24.45,One year,No,25-48,Low
29,74.95,Month-to-month,No,25-48,High
51,87.35,Month-to-month,No,49-72,High
48,70.65,Month-to-month,No,25-48,High
16,73.25,Month-to-month,No,13-24,High
70,98.7,Two year,No,49-72,High
40,24.8,Two year,No,25-48,Low
22,83.3,Month-to-month,Yes,13-24,High
1,75.3,Month-to-month,Yes,0-12,High
5,24.3,Month-to-month,No,0-12,Low
7,69.85,Month-to-month,No,0-12,Medium
29,100.55,One year,No,25-48,High
44,25.7,One year,No,25-48,Low
10,40.7,Month-to-month,No,0-12,Medium
55,51.65,Month-to-month,No,49-72,Medium
52,105.1,One year,No,49-72,High
10,85.95,Month-to-month,No,0-12,High
18,75.6,Month-to-month,No,13-24,High
68,58.25,One year,No,49-72,Medium
61,19.4,Month-to-month,Yes,49-72,Low
72,65.2,Two year,No,49-72,Medium
2,53.45,Month-to-month,No,0-12,Medium
12,45.4,Month-to-month,Yes,0-12,Medium
41,19.75,Two year,No,25-48,Low
26,44.45,Month-to-month,No,25-48,Medium
36,20.85,One year,No,25-48,Low
72,114.05,Two year,No,49-72,High
35,89.85,Month-to-month,No,25-48,High
1,55.05,Month-to-month,No,0-12,Medium
16,112.95,Month-to-month,No,13-24,High
49,101.55,Month-to-month,No,49-72,High
54,114.65,One year,No,49-72,High
18,64.8,Month-to-month,No,13-24,Medium
36,80.4,Month-to-month,No,25-48,High
60,105.9,Month-to-month,Yes,49-72,High
1,69.55,Month-to-month,Yes,0-12,Medium
52,25.05,Two year,No,49-72,Low
8,94.75,Month-to-month,No,0-12,High
72,105.5,Two year,No,49-72,High
64,24.7,One year,No,49-72,Low
22,69.75,Month-to-month,No,13-24,Medium
60,60.2,Month-to-month,No,49-72,Medium
28,81.05,Month-to-month,Yes,25-48,High
61,24.4,Two year,No,49-72,Low
24,104.15,Month-to-month,No,13-24,High
28,92.9,One year,No,25-48,High
30,80.8,Two year,No,25-48,High
2,20.0,Month-to-month,No,0-12,Low
1,75.1,Month-to-month,No,0-12,High
6,19.65,Month-to-month,No,0-12,Low
24,69.45,Month-to-month,No,13-24,Medium
4,101.15,Month-to-month,Yes,0-12,High
7,99.8,Month-to-month,Yes,0-12,High
72,116.05,Two year,No,49-72,High
70,40.05,Two year,No,49-72,Medium
64,102.1,Two year,No,49-72,High
72,89.7,One year,No,49-72,High
44,19.9,Two year,No,25-48,Low
13,55.95,Month-to-month,Yes,13-24,Medium
17,20.65,One year,No,13-24,Low
1,55.0,Month-to-month,Yes,0-12,Medium
9,70.05,Month-to-month,No,0-12,High
24,53.6,Month-to-month,No,13-24,Medium
1,74.7,Month-to-month,Yes,0-12,High
24,80.25,Month-to-month,Yes,13-24,High
35,76.05,Month-to-month,No,25-48,High
7,75.7,Month-to-month,No,0-12,High
5,96.1,Month-to-month,Yes,0-12,High
15,69.0,Month-to-month,Yes,13-24,Medium
11,19.65,Two year,No,0-12,Low
48,45.3,Month-to-month,Yes,25-48,Medium
20,81.45,Month-to-month,No,13-24,High
72,108.5,One year,No,49-72,High
8,83.55,Month-to-month,Yes,0-12,High
72,84.5,Two year,No,49-72,High
15,100.15,Month-to-month,No,13-24,High
72,88.6,Two year,No,49-72,High
0,52.55,Two year,No,,Medium
1,74.35,Month-to-month,Yes,0-12,High
63,104.8,Two year,No,49-72,High
2,59.0,Month-to-month,No,0-12,Medium
2,74.4,Month-to-month,Yes,0-12,High
61,64.05,One year,No,49-72,Medium
1,20.4,Month-to-month,No,0-12,Low
22,43.75,One year,Yes,13-24,Medium
28,60.9,Month-to-month,No,25-48,Medium
70,19.8,Two year,No,49-72,Low
5,28.45,Month-to-month,Yes,0-12,Low
12,99.7,Month-to-month,Yes,0-12,High
34,116.25,One year,No,25-48,High
71,80.7,Two year,No,49-72,High
70,65.2,One year,No,49-72,Medium
52,84.05,Month-to-month,No,49-72,High
69,79.45,Two year,No,49-72,High
20,94.1,Month-to-month,Yes,13-24,High
11,78.0,Month-to-month,No,0-12,High
2,94.2,Month-to-month,Yes,0-12,High
6,80.5,Month-to-month,Yes,0-12,High
1,19.85,Month-to-month,No,0-12,Low
20,94.3,One year,No,13-24,High
61,106.45,Month-to-month,No,49-72,High
5,74.35,Month-to-month,Yes,0-12,High
56,105.45,Month-to-month,No,49-72,High
30,95.0,Month-to-month,No,25-48,High
40,104.8,Month-to-month,Yes,25-48,High
28,54.3,One year,No,25-48,Medium
5,70.05,Month-to-month,No,0-12,High
27,75.2,Month-to-month,Yes,25-48,High
12,20.05,Month-to-month,No,0-12,Low
67,105.4,One year,No,49-72,High
29,51.6,Month-to-month,No,25-48,Medium
55,85.5,Month-to-month,No,49-72,High
23,75.6,Month-to-month,Yes,13-24,High
34,100.05,Month-to-month,Yes,25-48,High
52,91.25,One year,No,49-72,High
72,115.75,Two year,No,49-72,High
58,94.7,One year,No,49-72,High
35,19.6,Two year,No,25-48,Low
56,99.9,Two year,No,49-72,High
24,21.1,Two year,No,13-24,Low
70,20.05,Two year,No,49-72,Low
2,79.95,Month-to-month,No,0-12,High
68,107.15,One year,No,49-72,High
1,85.0,Month-to-month,Yes,0-12,High
12,89.55,Month-to-month,No,0-12,High
63,81.55,Month-to-month,No,49-72,High
33,58.45,One year,No,25-48,Medium
69,95.65,One year,No,49-72,High
60,80.6,Two year,No,49-72,High
72,113.1,Two year,No,49-72,High
11,58.95,Month-to-month,No,0-12,Medium
1,19.55,Month-to-month,No,0-12,Low
10,86.05,Month-to-month,Yes,0-12,High
13,45.55,Month-to-month,Yes,13-24,Medium
34,78.95,One year,No,25-48,High
39,86.3,Month-to-month,Yes,25-48,High
65,105.05,One year,No,49-72,High
50,101.9,One year,No,49-72,High
15,19.75,Month-to-month,No,13-24,Low
72,110.3,Two year,No,49-72,High
72,115.6,Two year,No,49-72,High
55,19.35,Two year,No,49-72,Low
23,25.6,Two year,No,13-24,Low
32,80.35,Month-to-month,Yes,25-48,High
56,68.75,One year,No,49-72,Medium
1,19.9,Month-to-month,No,0-12,Low
38,70.6,One year,No,25-48,High
11,70.2,Month-to-month,No,0-12,High
1,49.3,Month-to-month,No,0-12,Medium
56,107.25,One year,No,49-72,High
3,23.6,Month-to-month,No,0-12,Low
7,69.7,Month-to-month,No,0-12,Medium
59,99.5,Two year,No,49-72,High
7,64.3,Month-to-month,No,0-12,Medium
71,70.85,Two year,No,49-72,High
15,101.9,One year,No,13-24,High
71,73.5,Two year,No,49-72,High
35,100.25,Month-to-month,Yes,25-48,High
11,40.4,One year,No,0-12,Medium
60,19.25,Two year,No,49-72,Low
47,59.6,Two year,No,25-48,Medium
11,64.9,One year,No,0-12,Medium
56,100.3,One year,Yes,49-72,High
28,110.85,Month-to-month,No,25-48,High
61,81.05,Two year,No,49-72,High
31,98.05,One year,No,25-48,High
9,70.5,Month-to-month,No,0-12,High
35,94.55,Month-to-month,No,25-48,High
2,19.65,Month-to-month,No,0-12,Low
12,19.0,Month-to-month,Yes,0-12,Low
1,75.3,Month-to-month,Yes,0-12,High
4,89.2,Month-to-month,Yes,0-12,High
1,19.0,Month-to-month,No,0-12,Low
3,20.0,Month-to-month,No,0-12,Low
1,85.7,Month-to-month,Yes,0-12,High
52,63.25,Two year,No,49-72,Medium
5,20.1,One year,No,0-12,Low
72,99.15,Two year,No,49-72,High
71,90.4,Two year,No,49-72,High
72,111.9,Two year,No,49-72,High
46,24.9,One year,No,25-48,Low
63,83.5,Two year,No,49-72,High
30,84.3,Month-to-month,No,25-48,High
1,45.6,Month-to-month,No,0-12,Medium
12,61.65,Month-to-month,Yes,0-12,Medium
16,54.85,Two year,No,13-24,Medium
4,65.55,Month-to-month,No,0-12,Medium
51,90.35,One year,No,49-72,High
65,20.4,Two year,No,49-72,Low
16,74.55,Month-to-month,No,13-24,High
2,19.95,One year,No,0-12,Low
66,74.25,One year,No,49-72,High
46,108.65,Two year,No,25-48,High
32,109.55,One year,No,25-48,High
72,86.65,Two year,No,49-72,High
38,81.0,Two year,No,25-48,High
51,47.85,One year,No,49-72,Medium
72,114.55,Two year,No,49-72,High
65,105.25,Month-to-month,Yes,49-72,High
9,29.95,Month-to-month,Yes,0-12,Low
9,65.0,Month-to-month,Yes,0-12,Medium
66,20.55,Two year,No,49-72,Low
44,109.8,One year,No,25-48,High
50,69.5,Two year,No,49-72,Medium
15,48.85,Month-to-month,No,13-24,Medium
8,25.25,Month-to-month,No,0-12,Low
66,102.85,One year,No,49-72,High
57,87.55,Month-to-month,No,49-72,High
7,78.55,Month-to-month,No,0-12,High
10,34.55,Month-to-month,No,0-12,Low
62,92.05,One year,No,49-72,High
40,85.05,One year,No,25-48,High
20,19.7,Two year,No,13-24,Low
7,20.0,Month-to-month,Yes,0-12,Low
25,95.15,Month-to-month,No,25-48,High
23,84.25,Month-to-month,No,13-24,High
66,104.6,One year,No,49-72,High
72,111.65,Two year,No,49-72,High
49,90.05,Month-to-month,Yes,49-72,High
43,110.75,Month-to-month,Yes,25-48,High
46,55.0,Month-to-month,No,25-48,Medium
72,89.85,Two year,No,49-72,High
10,20.35,One year,No,0-12,Low
40,54.55,One year,No,25-48,Medium
65,105.5,Month-to-month,Yes,49-72,High
31,99.45,Two year,No,25-48,High
68,70.9,Two year,No,49-72,High
56,104.55,One year,Yes,49-72,High
10,85.25,Month-to-month,Yes,0-12,High
68,25.4,Two year,No,49-72,Low
43,56.15,Month-to-month,Yes,25-48,Medium
1,89.55,Month-to-month,Yes,0-12,High
49,89.85,One year,No,49-72,High
15,25.25,Month-to-month,No,13-24,Low
20,94.55,Month-to-month,Yes,13-24,High
1,45.7,Month-to-month,Yes,0-12,Medium
50,69.65,One year,No,49-72,Medium
2,89.5,Month-to-month,Yes,0-12,High
24,70.0,Month-to-month,No,13-24,Medium
3,69.55,Month-to-month,Yes,0-12,Medium
1,74.6,Month-to-month,Yes,0-12,High
35,20.1,Two year,No,25-48,Low
17,24.8,Month-to-month,No,13-24,Low
8,19.65,Month-to-month,Yes,0-12,Low
10,95.1,Month-to-month,No,0-12,High
68,88.85,Two year,No,49-72,High
45,78.8,One year,No,25-48,High
2,19.85,One year,Yes,0-12,Low
37,20.35,Month-to-month,No,25-48,Low
4,24.25,Month-to-month,Yes,0-12,Low
10,45.25,Month-to-month,No,0-12,Medium
1,20.05,Month-to-month,No,0-12,Low
65,69.55,Two year,No,49-72,Medium
57,19.5,Two year,No,49-72,Low
3,74.75,Month-to-month,No,0-12,High
2,69.65,Month-to-month,Yes,0-12,Medium
49,30.2,Month-to-month,No,49-72,Low
4,45.65,Month-to-month,Yes,0-12,Medium
70,57.8,Two year,No,49-72,Medium
53,19.85,One year,No,49-72,Low
53,25.55,Two year,No,49-72,Low
1,75.05,Month-to-month,Yes,0-12,High
22,24.85,Month-to-month,No,13-24,Low
